Love_Arranged  Age   Gender  Education      Occupation     Salary    Indian_state   Conflict_per_year 
Arranged       32    Male    Post Graduate  Doctor         1615328   Maharashtra    16                
Love           35    Female  12th           Business       1185026   UP             15                
Love           34    Female  Graduate       Business       677892    Rajasthan      16                
Love           32    Male    Post Graduate  Doctor         1215566   Telangana      18                
Love           29    Male    Graduate       Engineer       1314133   Karnataka      4                 
Arranged       32    Male    PhD            Engineer       747910    Rajasthan      8                 
Love           27    Female  Post Graduate  GovtJob        1891764   Gujarat        10                
Love           26    Male    Post Graduate  Engineer       1851332   Punjab         23                
Arranged       34    Female  10th           PrivateJob     1247222   Punjab         23                
Arranged       23    Female  12th           Business       2485983   TamilNadu      6                 
Love           37    Male    Graduate       GovtJob        2389344   TamilNadu      21                
Arranged       34    Male    PhD            Teacher        901532    Telangana      14                
Love           21    Male    PhD            PrivateJob     2905544   TamilNadu      13                
Love           32    Male    10th           Doctor         2491174   UP             3                 
Arranged       34    Female  10th           Business       457135    Delhi          20                
Arranged       27    Male    Post Graduate  PrivateJob     1747303   Delhi          9                 
Love           38    Male    Graduate       Doctor         2312683   Delhi          17                
Arranged       28    Female  Post Graduate  GovtJob        2910687   TamilNadu      12                
Love           36    Male    12th           Business       701718    Delhi          2                 
Arranged       32    Female  Graduate       Engineer       2430945   Gujarat        0                 
Arranged       31    Male    10th           Business       2010099   Rajasthan      16                
Love           36    Male    10th           GovtJob        1259143   Maharashtra    14                
Love           38    Male    10th           Doctor         951610    Delhi          23                
Arranged       23    Male    12th           PrivateJob     2842267   Gujarat        16                
Love           22    Male    10th           Business       378158    Telangana      6                 
Arranged       37    Male    10th           Business       1274638   Rajasthan      21                
Arranged       25    Female  PhD            Engineer       1924241   UP             16                
Arranged       36    Female  Graduate       Doctor         503911    WB             7                 
Arranged       36    Female  12th           GovtJob        2703515   Delhi          13                
Love           31    Female  Graduate       Doctor         1104666   Gujarat        18                
Arranged       21    Male    12th           Teacher        1930586   WB             10                
Love           34    Male    10th           Business       1137619   Delhi          9                 
Love           25    Female  12th           Doctor         229856    Punjab         7                 
Love           23    Male    10th           Engineer       2525187   UP             1                 
Love           22    Female  Post Graduate  Engineer       1613516   Karnataka      0                 
Arranged       32    Male    Graduate       Teacher        2306969   Punjab         6                 
Love           32    Male    Post Graduate  Doctor         2590066   Punjab         21                
Love           31    Male    Graduate       Business       1692090   Maharashtra    18                
Love           34    Male    10th           Engineer       1626808   TamilNadu      12                
Love           26    Female  12th           Doctor         1204415   Punjab         8                 
